"","H2O2","IL.1","JAK.STAT","MAPK_only","MAPK_PI3K","TLR","PI3K_only","TGFB","TNFa","VEGF","Wnt"
"DoTc2-4510",-0.83785,0.35371,1.54945,-0.56491,0.51282,1.50097,0.98821,0.6885,2.22265,-2.97776,-0.77887
"DOV13",1.6955,-0.01553,-3.2276,1.25147,3.5782,1.70048,-1.19254,-1.93589,2.49992,1.52059,-0.43562
"DSH1",-0.48377,-1.7094,-1.59072,1.00366,0.5035,-0.89094,1.41215,-2.074,0.05746,-0.93259,-1.47919
"DU-145",0.24915,0.46858,-0.72493,-0.64871,1.04188,0.38383,1.08342,-2.01853,0.87161,0.96932,0.9675
"DU-4475",-1.32855,-1.50745,1.45388,-1.10983,-1.18433,-0.88618,-1.36146,0.6338,-1.39861,-1.81911,0.39155
"EB-3",-0.37583,-0.04622,2.22248,-2.79168,-2.17412,0.28285,-3.16603,-0.52246,-0.15627,-0.96651,0.68451
"EB2",-0.39327,0.81867,1.74194,-4.2897,-2.7894,3.91487,-3.67849,0.33001,0.65066,-0.2301,-1.81028
"EBC-1",-0.52111,1.60613,0.11489,-0.51491,1.65714,-0.2591,1.15253,0.33162,0.89357,-1.76357,-0.83143
"EC-GI-10",-0.00762,0.69477,0.17205,-0.4448,0.23299,0.8454,2.38359,-3.58601,1.19915,0.10005,-0.09141
"ECC10",-2.45675,-1.6005,1.08715,-2.93996,-3.33572,-3.15057,-0.84654,0.47171,-2.76571,-0.44405,-1.23633
"ECC12",-0.32349,-2.67198,0.9216,-0.01262,-1.72707,-2.25513,-3.30023,1.27274,-1.57846,0.07262,0.27283
"EFM-19",-1.51789,-2.67446,-0.32044,0.5643,0.73528,-2.26375,0.46098,-0.40377,-2.0376,-0.75859,0.1317
"EFM-192A",-0.42574,-1.34452,0.44114,0.49618,0.39493,-1.39918,1.15651,0.51745,-0.82274,-1.41899,1.03237
"EFO-21",1.00652,1.842,-1.45487,-0.73334,0.19904,1.82591,0.26802,-0.39291,1.31359,1.65751,-0.78767
"EFO-27",0.33046,-0.03464,1.11404,1.02755,1.20668,0.57489,0.66721,-1.2907,0.51848,0.52996,2.28504
"EGI-1",0.76301,1.7171,-2.51669,1.97341,3.01408,0.69461,0.74043,-2.27263,1.34601,-1.07428,-3.56683
"EHEB",-1.41721,0.06918,3.47123,-3.00684,-2.34645,4.63498,-2.23855,-0.75452,1.7787,0.01412,-1.91067
"EJM",-0.33691,0.21695,2.56422,-2.41229,-1.74343,2.32674,1.57281,0.64918,-0.00355,0.07328,-0.42008
"EKVX",1.27226,1.40036,-0.68079,1.28027,-0.12955,-0.49839,0.63984,0.83681,1.21112,0.23004,-1.40298
"EM-2",-1.03183,-1.20641,2.84534,0.68715,-2.07007,1.69551,-0.70452,0.16099,-1.07073,-1.25694,0.7737
"EMC-BAC-1",0.15102,0.75763,-1.44027,2.09767,1.94741,2.40281,-0.31308,-2.95385,1.76852,-1.17065,-2.48011
"EMC-BAC-2",1.31445,0.59683,-2.30874,0.44877,0.64794,-0.00483,0.19464,0.66997,0.99107,0.56861,0.89168
"EN",0.4651,-0.57002,-0.49155,1.03327,-0.52895,-2.06211,2.25612,2.28427,-2.75233,0.09877,1.86954
"EoL-1-cell",-2.98955,-0.44924,2.6731,-1.35327,-2.56614,1.69703,-1.61564,0.41133,-0.70326,-0.67315,0.57191
"EPLC-272H",-0.59863,0.95577,-0.81727,0.52175,1.22927,1.05633,1.40008,-0.35551,2.2531,-1.27133,-0.15527
"ES-2",1.71835,0.80019,-2.44866,1.11577,0.38134,-0.43002,-1.05222,2.32883,1.03152,2.14096,1.1688
